"filename", "language", "PHP", "JavaScript", "XML", "PostCSS", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Swedish.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Thai.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Turkish.json", "JSON", 0, 0, 0, 0, 24, 0, 0, 3, 27
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Ukrainian.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 3, 24
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Urdu.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Uzbek.json", "JSON", 0, 0, 0, 0, 22, 0, 0, 2, 24
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Vietnamese.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Welsh.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 2, 25
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\persian.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 2, 25
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\jquery.dataTables.min.css", "PostCSS", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\jquery.dataTables.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 17, 3, 22
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\jszip.min.js", "JavaScript", 0, 4, 0, 0, 0, 0, 11, 0, 15
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\pdfmake.min.js", "JavaScript", 0, 29, 0, 0, 0, 0, 2, 1, 32
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\vfs_fonts.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\notify\notify.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5\PucFactory.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Autoloader.php", "PHP", 59, 0, 0, 0, 0, 0, 10, 18, 87
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\DebugBar\Extension.php", "PHP", 132, 0, 0, 0, 0, 0, 36, 32, 200
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\DebugBar\Panel.php", "PHP", 142, 0, 0, 0, 0, 0, 2, 28, 172
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\DebugBar\PluginExtension.php", "PHP", 26, 0, 0, 0, 0, 0, 6, 9, 41
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\DebugBar\PluginPanel.php", "PHP", 31, 0, 0, 0, 0, 0, 3, 8, 42
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\DebugBar\ThemePanel.php", "PHP", 15, 0, 0, 0, 0, 0, 3, 8, 26
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\InstalledPackage.php", "PHP", 41, 0, 0, 0, 0, 0, 49, 16, 106
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Metadata.php", "PHP", 83, 0, 0, 0, 0, 0, 64, 31, 178
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\OAuthSignature.php", "PHP", 56, 0, 0, 0, 0, 0, 30, 17, 103
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Plugin\Package.php", "PHP", 114, 0, 0, 0, 0, 0, 48, 27, 189
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Plugin\PluginInfo.php", "PHP", 80, 0, 0, 0, 0, 0, 34, 23, 137
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Plugin\Ui.php", "PHP", 194, 0, 0, 0, 0, 0, 73, 28, 295
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Plugin\Update.php", "PHP", 60, 0, 0, 0, 0, 0, 41, 16, 117
